Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
HDFC NIFTY G-Sec Jun 2036 Index Fund - Regular Plan,--,10.69,13/95,Moderate,Debt,0.38,2023-03-15,899.00
HDFC Nifty G-Sec Sep 2032 Index - Regular Plan,--,10.79,9/95,Moderate,Debt,0.38,2022-12-09,660.00
HDFC Nifty SDL Oct 2026 Index Fund - Regular Plan,--,8.45,76/95,Low to Moderate,Debt,0.36,2023-02-24,199.00
HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Regular Plan,--,9.07,59/95,Low to Moderate,Debt,0.35,2023-03-23,49.00
HDFC Overnight Fund - Regular Plan,2,6.29,27/35,Low,Debt,0.17,2002-02-06,"10,149"
HDFC Short Term Debt Fund,5,9.29,4/25,Moderate,Debt,0.73,2010-06-25,"15,486"
HDFC Ultra Short Term Fund - Regular Plan,4,7.60,7/24,Low to Moderate,Debt,0.70,2018-09-25,"16,573"
Helios Overnight Fund - Regular Plan,2,6.27,30/35,Low,Debt,0.18,2023-10-25,158.00
HSBC Banking and PSU Debt Fund,2,8.74,18/22,Moderate,Debt - Banking,0.61,2007-09-20,"4,295"
HSBC Corporate Bond Fund,1,9.55,6/21,Moderate,Debt - Bond,0.64,1997-03-31,"5,895"
HSBC Credit Risk Fund,1,21.46,2/14,Moderately High,Debt,1.69,2009-10-08,657.00
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular Plan,--,9.66,43/95,Low to Moderate,Debt,0.40,2022-03-31,"1,926"
HSBC CRISIL IBX Gilt June 2027 Index Fund - Regular Plan,--,8.87,65/95,Low to Moderate,Debt,0.42,2023-03-23,199.00
HSBC Dynamic Bond Fund,3,8.66,9/23,Moderate,Debt - Bond,0.78,2010-09-27,185.00
HSBC Gilt Fund,2,6.81,26/32,Moderate,Debt - Govt Instruments,1.64,2000-03-29,295.00
HSBC Income Plus Arbitrage Active FoF - Regular Plan,--,6.83,--,Moderate,Debt,0.48,2014-04-30,352.00
HSBC Liquid Fund - Regular Plan,4,7.21,9/45,Low to Moderate,Debt,0.21,2004-06-01,"21,894"
HSBC Low Duration Fund,1,9.28,1/20,Low to Moderate,Debt,1.09,2010-12-04,580.00
HSBC Medium Duration Fund - Regular Plan,3,9.33,6/13,Moderate,Debt,1.08,2015-02-02,648.00
HSBC Medium to Long Duration Fund,2,8.04,10/13,Moderate,Debt,1.40,2002-12-10,51.00
HSBC Money Market Fund,3,7.98,12/23,Low to Moderate,Debt,0.34,2005-08-10,"3,247"
HSBC Overnight Fund - Regular Plan,3,6.34,18/35,Low,Debt,0.16,2019-05-22,"2,602"
HSBC Short Duration Fund - Regular Plan,3,9.17,6/25,Moderate,Debt,0.72,2011-12-27,"3,928"
HSBC Ultra Short Duration Fund - Regular Plan,4,7.63,5/24,Low to Moderate,Debt,0.45,2020-01-29,"2,736"
ICICI Prudential All Seasons Bond Fund,5,9.36,5/23,Moderate,Debt - Bond,1.29,2009-05-04,"14,981"
ICICI Prudential Banking & PSU Debt Fund,5,8.79,17/22,Moderate,Debt - Banking,0.74,2010-01-01,"10,485"
ICICI Prudential Bond Fund,4,9.67,2/13,Moderate,Debt,1.03,2008-08-18,"2,889"
ICICI Prudential BSE Liquid Rate ETF - Growth,--,--,--,Low,Debt,0.25,2025-03-13,299.00
ICICI Prudential BSE Liquid Rate ETF - IDCW,--,6.14,38/45,Low,Debt,0.31,2018-09-25,"2,215"
ICICI Prudential Constant Maturity Gilt Fund,--,10.98,1/8,Moderate,Debt,0.39,2014-09-12,"2,551"
ICICI Prudential Corporate Bond Fund,5,9.10,15/21,Moderate,Debt - Bond,0.58,2009-06-12,"31,264"
ICICI Prudential Credit Risk Fund,3,9.40,6/14,High,Debt,1.41,2010-12-03,"6,135"
ICICI Prudential CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund,--,--,--,Low to Moderate,Debt,0.35,2025-01-27,14.00
ICICI Prudential CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,--,--,--,Low to Moderate,Debt,0.35,2025-03-19,562.00
ICICI Prudential Debt Management Fund (FOF),5,9.08,4/13,Moderately High,Debt,0.61,2003-12-18,115.00
ICICI Prudential Floating Interest Fund,2,8.52,10/12,Moderate,Debt,1.19,2005-11-17,"7,429"
ICICI Prudential Gilt Fund,5,9.62,10/32,Moderate,Debt - Govt Instruments,1.09,1999-08-19,"7,347"
ICICI Prudential Income Plus Arbitrage Active FoF,--,9.28,--,Moderate,Debt,0.28,2003-12-18,594.00
ICICI Prudential Liquid Fund,4,7.19,17/45,Moderate,Debt,0.30,2005-11-17,"50,000"
ICICI Prudential Long Term Bond Fund,--,9.58,1/9,Moderate,Debt,0.95,1998-07-09,"1,230"
ICICI Prudential Medium Term Bond Fund,4,9.41,5/13,Moderately High,Debt,1.38,2004-09-15,"5,733"
ICICI Prudential Money Market Fund,4,8.17,3/23,Moderate,Debt,0.32,2006-03-09,"30,001"
ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,--,10.80,3/8,Moderate,Debt,0.14,2022-12-13,546.00
ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,--,11.06,1/32,Moderate,Debt - Govt Instruments,0.20,2022-03-07,59.00
ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,--,10.35,28/95,Moderate,Debt,0.39,2022-10-11,967.00
ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund,--,9.32,48/95,Low to Moderate,Debt,0.38,2021-09-28,"9,309"
ICICI Prudential Nifty SDL Dec 2028 Index Fund,--,10.55,18/95,Low to Moderate,Debt,0.37,2022-10-12,"1,002"
ICICI Prudential Nifty SDL Sep 2026 Index Fund,--,8.35,80/95,Low to Moderate,Debt,0.40,2022-12-21,250.00
ICICI Prudential Nifty SDL Sep 2027 Index Fund,--,9.42,45/95,Low to Moderate,Debt,0.35,2022-03-24,"1,792"
ICICI Prudential Overnight Fund,4,6.35,16/35,Low,Debt,0.17,2018-11-15,"8,627"
ICICI Prudential Retirement Fund - Pure Debt Plan,4,7.92,17/23,Moderately High,Debt - Bond,2.17,2019-02-27,106.00
ICICI Prudential Savings Fund,3,8.40,2/20,Moderate,Debt,0.53,2002-09-27,"22,934"
ICICI Prudential Short Term Fund,5,8.99,14/25,Moderate,Debt,1.04,2001-10-25,"21,284"
ICICI Prudential Ultra Short Term Fund,5,7.64,4/24,Moderate,Debt,0.80,2011-05-03,"16,269"
Invesco India Banking and PSU Fund,1,9.21,8/22,Moderate,Debt - Banking,0.63,2012-12-29,105.00
Invesco India Corporate Bond Fund,3,9.44,9/21,Moderate,Debt - Bond,0.68,2007-08-02,"7,031"
Invesco India Credit Risk Fund - Regular Plan,1,10.37,4/14,Moderately High,Debt,1.45,2014-09-04,150.00
Invesco India Gilt Fund,3,7.11,24/32,Moderate,Debt - Govt Instruments,1.25,2008-02-09,636.00
Invesco India Liquid Fund,4,7.22,7/45,Low to Moderate,Debt,0.22,2006-11-17,"14,737"
Invesco India Low Duration Fund,4,8.00,6/20,Low to Moderate,Debt,0.60,2007-01-18,"1,673"
Invesco India Medium Duration Fund - Regular Plan,2,8.79,11/13,Moderate,Debt,1.15,2021-07-16,169.00
Invesco India Money Market Fund,3,7.84,15/23,Low to Moderate,Debt,0.48,2009-08-28,"5,899"
Invesco India Nifty G-sec Jul 2027 Index Fund - Regular Plan,--,9.03,61/95,Low to Moderate,Debt,0.29,2023-03-20,72.00
Invesco India Nifty G-sec Sep 2032 Index Fund - Regular Plan,--,10.88,4/95,Moderate,Debt,0.29,2023-03-29,53.00
Invesco India Overnight Fund - Regular Plan,4,6.38,7/35,Low,Debt,0.12,2020-01-08,323.00
Invesco India Short Duration Fund,2,8.89,16/25,Moderate,Debt,1.05,2007-03-24,"1,051"
Invesco India Ultra Short Duration Fund,3,7.50,9/24,Low to Moderate,Debt,0.74,2010-12-30,"1,227"
ITI Banking and PSU Debt Fund - Regular Plan,5,8.20,21/22,Low to Moderate,Debt - Banking,0.70,2020-10-22,36.00
ITI Dynamic Bond Fund - Regular Plan,4,8.13,11/23,Moderate,Debt - Bond,1.19,2021-07-14,40.00
ITI Liquid Fund - Regular Plan,1,6.92,32/45,Low to Moderate,Debt,0.25,2019-04-24,70.00
ITI Overnight Fund - Regular Plan,1,6.11,33/35,Low,Debt,0.18,2019-10-25,44.00
ITI Ultra Short Duration Fund - Regular Plan,2,6.80,22/24,Low to Moderate,Debt,0.95,2021-05-05,163.00
JM Dynamic Bond Fund,4,9.52,3/23,Moderate,Debt - Bond,0.97,2003-06-25,57.00
JM Liquid Fund,2,7.10,27/45,Low to Moderate,Debt,0.26,1997-12-31,"2,196"
JM Low Duration Fund,4,7.94,12/20,Low to Moderate,Debt,0.72,2006-09-27,232.00
JM Medium to Long Duration Fund,2,9.41,3/13,Moderate,Debt,1.10,1995-04-01,35.00
JM Overnight Fund - Regular Plan,2,6.27,28/35,Low,Debt,0.15,2019-12-03,97.00
JM Short Duration Fund - Regular Plan,2,8.57,22/25,Moderate,Debt,1.09,2022-08-29,121.00
Kotak Banking and PSU Debt Fund - Regular Plan,3,9.24,7/22,Moderate,Debt - Banking,0.75,1998-12-29,"6,213"
Kotak Bond Fund - Regular Plan,3,8.19,9/13,Moderate,Debt,1.66,1999-11-25,"2,131"
Kotak Bond - Short Term Regular Fund,3,8.99,13/25,Moderate,Debt,1.12,2002-05-02,"17,541"
Kotak Corporate Bond Fund - Standard Plan,4,9.54,7/21,Moderate,Debt - Bond,0.68,2007-09-21,"16,661"
Kotak Credit Risk Fund - Regular Plan,1,7.78,13/14,High,Debt,1.71,2010-05-11,704.00
Kotak CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund - Regular Plan,--,--,--,Moderate,Debt,0.29,2025-02-17,52.00
Kotak CRISIL IBX AAA Financial Services Index - Sep 2027 Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.40,2024-09-13,406.00
Kotak CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.35,2025-03-07,584.00
Kotak Dynamic Bond Fund - Regular Plan,2,8.08,13/23,Moderately High,Debt - Bond,1.33,2008-05-26,"2,883"
Kotak Floating Rate Fund - Regular Plan,2,9.37,5/12,Low to Moderate,Debt,0.63,2019-05-14,"3,312"
Kotak Gilt Investment Provident Fund and Trust Plan,2,6.37,30/32,Moderate,Debt - Govt Instruments,1.40,2003-11-11,"3,868"
Kotak Gilt Investment - Regular Plan,2,6.37,31/32,Moderate,Debt - Govt Instruments,1.48,1998-12-29,"3,868"
Kotak Income Plus Arbitrage FOF - Regular Plan,--,8.76,--,Moderate,Debt,0.32,2022-11-17,"2,260"
Kotak Liquid - Regular Plan,3,7.17,20/45,Moderate,Debt,0.31,2003-11-04,"36,088"
Kotak Long Duration Fund - Regular Plan,--,7.11,4/9,Moderate,Debt,0.62,2024-03-11,208.00
Kotak Low Duration Fund - Standard Plan,1,7.88,14/20,Low to Moderate,Debt,1.17,2008-03-06,"12,913"
Kotak Medium Term Fund - Regular Plan,3,9.48,4/13,Moderately High,Debt,1.63,2014-03-21,"1,912"
Kotak Money Market Fund - Regular Plan,4,8.12,8/23,Low to Moderate,Debt,0.36,2003-07-14,"31,657"
Kotak Nifty 1D Rate Liquid ETF,--,6.25,37/45,Low,Debt,0.19,2023-01-24,"1,326"
Kotak Nifty AAA Bond Jun 2025 HTM Index Fund - Regular Plan,--,7.37,93/95,Low to Moderate,Debt,0.23,2024-03-28,102.00
Kotak Nifty G-Sec July 2033 Index Fund - Regular Plan,--,10.53,22/95,Moderate,Debt,0.39,2023-10-11,21.00
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund - Regular Plan,--,9.09,57/95,Low to Moderate,Debt,0.35,2022-02-11,"7,693"
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund - Regular Plan,--,10.56,17/95,Moderate,Debt,0.36,2022-02-11,"3,072"
Kotak Nifty SDL Jul 2026 Index Fund - Regular Plan,--,8.22,82/95,Low to Moderate,Debt,0.41,2022-12-22,103.00
Kotak Nifty SDL Jul 2033 Index Fund - Regular Plan,--,10.47,25/95,Moderate,Debt,0.43,2023-02-15,213.00
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund - Regular Plan,--,9.86,37/95,Low to Moderate,Debt,0.40,2022-10-13,577.00
Kotak Overnight Fund - Regular Plan,3,6.37,9/35,Low,Debt,0.16,2019-01-15,"6,261"
Kotak Savings Fund - Regular Plan,2,7.43,11/24,Low to Moderate,Debt,0.81,2004-08-13,"15,401"
LIC MF Banking & PSU Fund,3,9.32,4/22,Moderate,Debt - Banking,0.78,2007-05-31,"1,932"
LIC MF Gilt Fund,2,6.79,28/32,Moderate,Debt - Govt Instruments,1.48,1999-12-10,92.00
LIC MF Gilt Fund - Provident Fund,2,6.79,27/32,Moderate,Debt - Govt Instruments,--,2003-12-29,92.00
LIC MF Liquid Fund - Regular Plan,4,7.15,21/45,Low to Moderate,Debt,0.30,2002-03-18,"11,165"
LIC MF Low Duration Fund,2,7.63,19/20,Low to Moderate,Debt,0.96,2003-06-09,"2,100"
LIC MF Medium to Long Duration Fund,3,9.75,1/13,Moderate,Debt,1.22,1999-06-23,202.00
LIC MF Money Market Fund - Regular Plan,1,6.56,23/23,Moderate,Debt,0.49,2022-08-01,463.00
LIC MF Nifty 8-13 yr G-Sec Exchange Traded Fund,--,10.95,3/32,Moderate,Debt - Govt Instruments,0.16,2014-12-24,"2,553"
LIC MF Overnight Fund - Regular Plan,2,6.32,26/35,Low to Moderate,Debt,0.15,2019-07-18,834.00
LIC MF Short Duration Fund - Regular Plan,2,8.72,19/25,Moderate,Debt,1.32,2019-02-01,262.00
LIC MF Ultra Short Duration Fund - Regular Plan,2,7.09,18/24,Moderate,Debt,0.95,2019-11-27,267.00
Mahindra Manulife Dynamic Bond Fund - Regular Plan,2,7.98,15/23,Moderate,Debt - Bond,1.57,2018-08-20,98.00
Mahindra Manulife Liquid Fund - Regular Plan,4,7.19,16/45,Moderate,Debt,0.25,2016-07-04,"1,198"
Mahindra Manulife Low Duration Fund - Regular Plan,2,7.66,17/20,Moderate,Debt,1.09,2017-02-15,624.00
Mahindra Manulife Overnight Fund - Regular Plan,3,6.34,19/35,Low,Debt,0.20,2019-07-23,247.00
Mahindra Manulife Short Duration Fund - Regular Plan,2,8.63,20/25,Moderate,Debt,1.25,2021-02-23,77.00
Mahindra Manulife Ultra Short Duration Fund - Regular Plan,4,7.50,10/24,Moderate,Debt,0.70,2019-10-17,205.00
Mirae Asset Banking and PSU Fund - Regular Plan,2,8.87,15/22,Moderate,Debt - Banking,0.81,2020-07-24,48.00
Mirae Asset Corporate Bond Fund - Regular Plan,2,9.09,16/21,Moderate,Debt - Bond,0.65,2021-03-17,44.00
Mirae Asset CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,--,--
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund - Regular Plan,--,10.63,15/95,Moderate,Debt,0.40,2022-10-20,244.00
Mirae Asset Dynamic Bond Fund - Regular Plan,3,8.19,10/23,Low to Moderate,Debt - Bond,1.02,2017-03-24,120.00
Mirae Asset Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,--,--,--
Mirae Asset Liquid Fund,4,7.19,15/45,Low to Moderate,Debt,0.20,2009-01-12,"14,285"
Mirae Asset Long Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.70,2024-12-06,43.00
Mirae Asset Low Duration Fund - Regular Plan,3,7.91,13/20,Low to Moderate,Debt,0.85,2008-03-05,"1,838"
Mirae Asset Money Market Fund - Regular Plan,3,8.04,10/23,Low to Moderate,Debt,0.41,2021-08-11,"2,659"
Mirae Asset Nifty 1D Rate Liquid ETF - Growth,--,--,--,Low,Debt,0.16,2024-11-07,277.00
Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,--,6.04,41/45,Low,Debt,0.28,2023-07-27,546.00
Mirae Asset Nifty 8-13 yr G-Sec ETF,--,10.93,4/32,Moderate,Debt - Govt Instruments,0.10,2023-03-31,93.00
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Regular Plan,--,8.03,85/95,Low to Moderate,Debt,0.36,2022-10-20,87.00
Mirae Asset Nifty SDL Jun 2027 Index Fund - Regular Plan,--,9.25,52/95,Low to Moderate,Debt,0.35,2022-03-30,648.00
Mirae Asset Nifty SDL June 2028 Index Fund - Regular Plan,--,9.98,35/95,Low to Moderate,Debt,0.49,2023-03-31,74.00
Mirae Asset Overnight Fund - Regular Plan,4,6.36,13/35,Low,Debt,0.16,2019-10-15,"1,010"
Mirae Asset Short Duration Fund - Regular Plan,3,8.89,17/25,Moderate,Debt,1.12,2018-03-16,"1,056"
Mirae Asset Ultra Short Duration Fund - Regular Plan,5,7.84,2/24,Low to Moderate,Debt,0.42,2020-10-07,"1,780"
Motilal Oswal 5 Year G-Sec FoF - Regular Plan,1,10.29,8/32,Moderate,Debt - Govt Instruments,0.21,2021-10-06,38.00
Motilal Oswal Liquid Fund - Regular Plan,1,6.67,36/45,Low to Moderate,Debt,0.37,2018-12-20,"1,117"
Motilal Oswal Liquid Fund - Unclaimed,--,--,--,Low to Moderate,Debt,--,--,"1,117"
Motilal Oswal Nifty 5 year Benchmark G-Sec ETF,--,10.46,7/32,Moderate,Debt - Govt Instruments,0.24,2020-12-10,109.00
Motilal Oswal Ultra Short Term Fund - Regular Plan,1,5.99,24/24,Low to Moderate,Debt,1.03,2013-09-06,572.00
Navi Liquid Fund,1,6.77,35/45,Low to Moderate,Debt,0.20,2010-02-19,121.00
Nippon India Banking & PSU Debt Fund,3,9.24,6/22,Moderate,Debt - Banking,0.77,2015-05-15,"5,946"
Nippon India Corporate Bond Fund,5,9.83,3/21,Moderate,Debt - Bond,0.74,2000-09-14,"8,771"
Nippon India Credit Risk Fund,5,9.49,5/14,High,Debt,1.46,2005-06-08,"1,017"
Nippon India CRISIL IBX AAA Financial Services - Dec 2026 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.37,2024-10-25,103.00
Nippon India CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Regular Plan,--,--,--,Moderate,Debt,0.37,2024-10-25,107.00
Nippon India Dynamic Bond Fund,4,10.20,2/23,Moderate,Debt - Bond,0.74,2004-11-15,"4,613"
Nippon India ETF Nifty 1D Rate Liquid BeES,--,5.66,45/45,Low,Debt,0.69,2003-07-08,"12,214"
Nippon India ETF Nifty 5 yr Benchmark G-Sec,--,10.78,5/32,Moderate,Debt - Govt Instruments,0.09,2021-04-05,227.00
Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,--,11.01,2/32,Moderate,Debt - Govt Instruments,0.10,2016-07-05,"2,773"
Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,--,8.05,83/95,Low to Moderate,Debt,0.20,2021-03-25,"5,231"
Nippon India Floating Rate Fund,3,9.40,3/12,Moderate,Debt,0.65,2004-08-27,"7,811"
Nippon India Gilt Securities Fund,3,7.52,20/32,Moderate,Debt - Govt Instruments,1.28,2003-07-04,"2,068"
Nippon India Gilt Securities PF,3,7.52,19/32,Moderate,Debt - Govt Instruments,1.71,2008-08-22,"2,068"
Nippon India Income Fund,3,7.87,11/13,Moderate,Debt,1.52,1998-01-01,426.00
Nippon India Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,--,2025-06-17,--
Nippon India Liquid Fund,3,7.18,18/45,Moderate,Debt,0.33,2003-12-09,"36,125"
Nippon India Low Duration Fund,3,7.99,7/20,Moderate,Debt,0.96,2007-03-20,"7,663"
Nippon India Money Market Fund,4,8.16,5/23,Moderate,Debt,0.37,2005-06-16,"19,655"
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund - Regular Plan,--,8.80,70/95,Low to Moderate,Debt,0.32,2022-03-29,"3,330"
Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund - Regular Plan,--,8.32,81/95,Low to Moderate,Debt,0.38,2022-10-27,413.00
Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund - Regular Plan,--,10.71,12/95,Moderate,Debt,0.42,2022-12-19,833.00
Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund - Regular Plan,--,9.79,40/95,Low to Moderate,Debt,0.37,2023-03-06,143.00
Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund - Regular Plan,--,9.00,62/95,Low to Moderate,Debt,0.40,2022-12-06,400.00
Nippon India Nifty SDL Plus G-Sec - Jun 2028 Maturity 70:30 Index Fund - Regular Plan,--,9.78,42/95,Low to Moderate,Debt,0.40,2022-11-24,416.00
Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund - Regular Plan,--,10.23,30/95,Moderate,Debt,0.39,2023-02-20,340.00
Nippon India Nivesh Lakshya Fund - Regular Plan,--,8.29,3/9,Moderate,Debt,0.64,2018-07-06,"10,269"
Nippon India Overnight Fund - Regular Plan,4,6.39,5/35,Low,Debt,0.16,2018-12-18,"5,781"
Nippon India Short Term Fund,3,9.48,2/25,Moderate,Debt,0.95,2002-12-18,"7,058"
Nippon India Strategic Debt Fund,4,9.01,7/13,Moderately High,Debt,1.11,2014-06-26,103.00
Nippon India Ultra Short Duration Fund,4,7.39,12/24,Moderate,Debt,1.11,2001-12-07,"8,772"
NJ Overnight Fund - Regular Plan,1,6.25,31/35,Low,Debt,0.15,2022-08-01,223.00
Parag Parikh Liquid Fund - Regular Plan,1,6.83,33/45,Low to Moderate,Debt,0.21,2018-05-11,"3,426"
PGIM India Corporate Bond Fund,3,9.08,17/21,Moderate,Debt - Bond,1.00,2003-01-30,91.00
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund - Regular Plan,--,9.26,51/95,Low to Moderate,Debt,0.47,2023-02-22,27.00
PGIM India Dynamic Bond Fund,3,8.06,14/23,Moderate,Debt - Bond,1.64,2012-01-12,120.00
PGIM India Gilt Fund,3,7.72,17/32,Moderate,Debt - Govt Instruments,1.38,2008-10-27,117.00
PGIM India Liquid Fund,3,7.21,8/45,Low to Moderate,Debt,0.22,2007-09-05,472.00
PGIM India Money Market Fund - Regular Plan,2,7.78,16/23,Low to Moderate,Debt,0.46,2020-03-06,183.00
PGIM India Overnight Fund - Regular Plan,4,6.38,6/35,Low,Debt,0.17,2019-08-27,40.00
PGIM India Ultra Short Duration Fund,3,7.06,20/24,Low to Moderate,Debt,0.92,2008-07-03,198.00
Quant Gilt Fund - Regular Plan,4,7.47,21/32,Moderate,Debt - Govt Instruments,1.41,2022-12-21,142.00
Quant Liquid Fund,2,6.98,31/45,Moderate,Debt,0.52,2005-10-03,"1,679"
Quant Overnight Fund - Regular Plan,5,6.37,8/35,Low,Debt,0.22,2022-12-05,214.00
Quantum Dynamic Bond Fund - Regular Plan,4,8.86,7/23,Moderate,Debt - Bond,0.96,2015-05-19,116.00
Quantum Liquid Fund - Unclaimed,--,--,--,Low,Debt,--,--,558.00
Quantum Liquid - Regular Plan,2,6.79,34/45,Low,Debt,0.25,2006-04-07,558.00
Samco Overnight Fund - Regular Plan,1,5.98,35/35,Low,Debt,0.33,2022-10-12,51.00
SBI Banking and PSU Fund,3,9.08,10/22,Moderate,Debt - Banking,0.79,2009-10-09,"4,074"
SBI Corporate Bond Fund - Regular Plan,3,9.48,8/21,Moderate,Debt - Bond,0.77,2019-02-01,"25,098"
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund - Regular Plan,--,8.40,79/95,Low to Moderate,Debt,0.34,2022-01-24,"8,919"
SBI Credit Risk Fund,3,8.71,10/14,High,Debt,1.55,2004-07-14,"2,245"
SBI CRISIL IBX Gilt Index - April 2029 Fund - Regular Plan,--,10.04,34/95,Moderate,Debt,0.43,2022-10-04,"2,211"
SBI CRISIL IBX Gilt Index - June 2036 Fund - Regular Plan,--,10.53,19/95,Moderate,Debt,0.50,2022-10-04,"2,591"
SBI CRISIL IBX SDL Index - September 2027 Fund - Regular Plan,--,9.36,47/95,Low to Moderate,Debt,0.38,2022-10-04,"1,124"
SBI Dynamic Bond Fund,3,8.11,12/23,Moderate,Debt - Bond,1.41,2004-02-09,"3,560"
SBI Floating Rate Debt Fund - Regular Plan,3,8.61,9/12,Low to Moderate,Debt,0.41,2020-10-27,"1,229"
SBI Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Low to Moderate,Debt,0.30,2025-05-02,"1,171"
SBI Liquid Fund,2,7.11,26/45,Low to Moderate,Debt,0.31,2007-03-22,"65,172"
SBI Long Duration Fund - Regular Plan,--,6.56,6/9,Moderate,Debt,0.67,2022-12-21,"2,976"
SBI Magnum Constant Maturity Fund,--,10.20,6/8,Moderate,Debt,0.63,2000-12-30,"1,944"
SBI Magnum Gilt Fund,4,7.88,16/32,Moderate,Debt - Govt Instruments,0.94,2000-12-30,"12,573"
SBI Magnum Income Fund,4,8.36,7/13,Moderately High,Debt,1.47,1998-11-25,"1,983"
SBI Magnum Low Duration Fund,4,7.87,15/20,Moderate,Debt,0.93,2007-07-27,"14,729"
SBI Magnum Medium Duration Fund,4,8.94,8/13,Moderately High,Debt,1.22,2003-11-12,"6,580"
SBI Magnum Ultra Short Duration Fund,3,7.62,6/24,Low to Moderate,Debt,0.55,1999-05-21,"16,434"
SBI Nifty 10 yr Benchmark G-Sec ETF,--,10.91,2/8,Moderate,Debt,0.14,2016-06-10,"3,259"
SBI NIFTY 1D Rate ETF,--,5.90,43/45,Low,Debt,0.35,2023-10-27,36.00
SBI Overnight Fund,2,6.33,21/35,Low to Moderate,Debt,0.14,2002-10-01,"15,182"
SBI Savings Fund,2,7.74,18/23,Moderate,Debt,0.67,2004-07-14,"30,118"
SBI Short Term Debt Fund,4,9.15,7/25,Moderate,Debt,0.85,2007-07-27,"14,733"
Shriram Liquid Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.26,2024-11-14,177.00
Shriram Nifty 1D Rate Liquid ETF,--,--,--,Low,Debt,0.41,2024-07-05,20.00
Shriram Overnight Fund - Regular Plan,2,6.23,32/35,Low,Debt,0.16,2022-08-26,200.00
Sundaram Banking & PSU Fund - Regular Plan,3,9.25,5/22,Moderate,Debt - Banking,0.41,2004-12-29,471.00
Sundaram Corporate Bond Fund - Regular Plan,3,9.37,12/21,Moderate,Debt - Bond,0.55,2004-12-29,719.00
Sundaram Liquid Fund,3,7.13,22/45,Low to Moderate,Debt,0.32,2004-08-30,"6,288"
Sundaram Low Duration Fund,4,7.83,16/20,Low to Moderate,Debt,1.15,2004-09-14,398.00
Sundaram Medium Duration Fund - Regular Plan,1,7.51,13/13,Moderate,Debt,2.13,1997-12-18,43.00
Sundaram Money Market Fund - Regular Plan,3,8.02,11/23,Low to Moderate,Debt,0.29,2018-09-26,"1,356"
Sundaram Overnight Fund - Regular Plan,2,6.34,17/35,Low,Debt,0.16,2019-03-20,801.00
Sundaram Short Duration Fund,4,9.05,11/25,Moderate,Debt,0.89,2002-09-04,214.00
Sundaram Ultra Short Duration Fund - Regular Plan,1,6.64,23/24,Low to Moderate,Debt,1.48,2007-12-28,"2,551"
Tata Corporate Bond Fund - Regular Plan,3,9.00,18/21,Moderate,Debt - Bond,0.86,2021-12-01,"4,024"
Tata CRISIL-IBX Gilt Index - April 2026 Index Fund - Regular Plan,--,7.75,89/95,Low to Moderate,Debt,0.35,2022-09-30,950.00
Tata Floating Rate Fund - Regular Plan,3,8.82,8/12,Moderate,Debt,0.72,2021-07-07,114.00
