Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
HDFC Nifty SDL Oct 2026 Index Fund - Regular Plan,--,8.45,76/95,Low to Moderate,Debt,0.36,24-02-2023,199
HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Regular Plan,--,9.07,59/95,Low to Moderate,Debt,0.35,23-03-2023,49
HDFC Overnight Fund - Regular Plan,2,6.29,27/35,Low,Debt,0.17,06-02-2002,"10,149"
HDFC Short Term Debt Fund,5,9.29,Apr-25,Moderate,Debt,0.73,25-06-2010,"15,486"
HDFC Ultra Short Term Fund - Regular Plan,4,7.6,Jul-24,Low to Moderate,Debt,0.7,25-09-2018,"16,573"
Helios Overnight Fund - Regular Plan,2,6.27,30/35,Low,Debt,0.18,25-10-2023,158
HSBC Banking and PSU Debt Fund,2,8.74,18/22,Moderate,Debt - Banking,0.61,20-09-2007,"4,295"
HSBC Corporate Bond Fund,1,9.55,Jun-21,Moderate,Debt - Bond,0.64,31-03-1997,"5,895"
HSBC Credit Risk Fund,1,21.46,Feb-14,Moderately High,Debt,1.69,08-10-2009,657
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular Plan,--,9.66,43/95,Low to Moderate,Debt,0.4,31-03-2022,"1,926"
HSBC CRISIL IBX Gilt June 2027 Index Fund - Regular Plan,--,8.87,65/95,Low to Moderate,Debt,0.42,23-03-2023,199
HSBC Dynamic Bond Fund,3,8.66,Sep-23,Moderate,Debt - Bond,0.78,27-09-2010,185
HSBC Gilt Fund,2,6.81,26/32,Moderate,Debt - Govt Instruments,1.64,29-03-2000,295
HSBC Income Plus Arbitrage Active FoF - Regular Plan,--,6.83,--,Moderate,Debt,0.48,30-04-2014,352
HSBC Liquid Fund - Regular Plan,4,7.21,Sep-45,Low to Moderate,Debt,0.21,01-06-2004,"21,894"
HSBC Low Duration Fund,1,9.28,Jan-20,Low to Moderate,Debt,1.09,04-12-2010,580
HSBC Medium Duration Fund - Regular Plan,3,9.33,Jun-13,Moderate,Debt,1.08,02-02-2015,648
HSBC Medium to Long Duration Fund,2,8.04,Oct-13,Moderate,Debt,1.4,10-12-2002,51
HSBC Money Market Fund,3,7.98,Dec-23,Low to Moderate,Debt,0.34,10-08-2005,"3,247"
HSBC Overnight Fund - Regular Plan,3,6.34,18/35,Low,Debt,0.16,22-05-2019,"2,602"
HSBC Short Duration Fund - Regular Plan,3,9.17,Jun-25,Moderate,Debt,0.72,27-12-2011,"3,928"
HSBC Ultra Short Duration Fund - Regular Plan,4,7.63,May-24,Low to Moderate,Debt,0.45,29-01-2020,"2,736"
ICICI Prudential All Seasons Bond Fund,5,9.36,May-23,Moderate,Debt - Bond,1.29,04-05-2009,"14,981"
ICICI Prudential Banking & PSU Debt Fund,5,8.79,17/22,Moderate,Debt - Banking,0.74,01-01-2010,"10,485"
ICICI Prudential Bond Fund,4,9.67,Feb-13,Moderate,Debt,1.03,18-08-2008,"2,889"
ICICI Prudential BSE Liquid Rate ETF - Growth,--,--,--,Low,Debt,0.25,13-03-2025,299
ICICI Prudential BSE Liquid Rate ETF - IDCW,--,6.14,38/45,Low,Debt,0.31,25-09-2018,"2,215"
ICICI Prudential Constant Maturity Gilt Fund,--,10.98,01-Aug,Moderate,Debt,0.39,12-09-2014,"2,551"
ICICI Prudential Corporate Bond Fund,5,9.1,15/21,Moderate,Debt - Bond,0.58,12-06-2009,"31,264"
ICICI Prudential Credit Risk Fund,3,9.4,Jun-14,High,Debt,1.41,03-12-2010,"6,135"
ICICI Prudential CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund,--,--,--,Low to Moderate,Debt,0.35,27-01-2025,14
ICICI Prudential CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,--,--,--,Low to Moderate,Debt,0.35,19-03-2025,562
ICICI Prudential Debt Management Fund (FOF),5,9.08,Apr-13,Moderately High,Debt,0.61,18-12-2003,115
ICICI Prudential Floating Interest Fund,2,8.52,10-Dec,Moderate,Debt,1.19,17-11-2005,"7,429"
ICICI Prudential Gilt Fund,5,9.62,Oct-32,Moderate,Debt - Govt Instruments,1.09,19-08-1999,"7,347"
ICICI Prudential Income Plus Arbitrage Active FoF,--,9.28,--,Moderate,Debt,0.28,18-12-2003,594
ICICI Prudential Liquid Fund,4,7.19,17/45,Moderate,Debt,0.3,17-11-2005,"50,000"
ICICI Prudential Long Term Bond Fund,--,9.58,01-Sep,Moderate,Debt,0.95,09-07-1998,"1,230"
ICICI Prudential Medium Term Bond Fund,4,9.41,May-13,Moderately High,Debt,1.38,15-09-2004,"5,733"
ICICI Prudential Money Market Fund,4,8.17,Mar-23,Moderate,Debt,0.32,09-03-2006,"30,001"
ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,--,10.8,03-Aug,Moderate,Debt,0.14,13-12-2022,546
ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,--,11.06,Jan-32,Moderate,Debt - Govt Instruments,0.2,07-03-2022,59
ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,--,10.35,28/95,Moderate,Debt,0.39,11-10-2022,967
ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund,--,9.32,48/95,Low to Moderate,Debt,0.38,28-09-2021,"9,309"
ICICI Prudential Nifty SDL Dec 2028 Index Fund,--,10.55,18/95,Low to Moderate,Debt,0.37,12-10-2022,"1,002"
ICICI Prudential Nifty SDL Sep 2026 Index Fund,--,8.35,80/95,Low to Moderate,Debt,0.4,21-12-2022,250
ICICI Prudential Nifty SDL Sep 2027 Index Fund,--,9.42,45/95,Low to Moderate,Debt,0.35,24-03-2022,"1,792"
ICICI Prudential Overnight Fund,4,6.35,16/35,Low,Debt,0.17,15-11-2018,"8,627"
ICICI Prudential Retirement Fund - Pure Debt Plan,4,7.92,17/23,Moderately High,Debt - Bond,2.17,27-02-2019,106
ICICI Prudential Savings Fund,3,8.4,Feb-20,Moderate,Debt,0.53,27-09-2002,"22,934"
ICICI Prudential Short Term Fund,5,8.99,14/25,Moderate,Debt,1.04,25-10-2001,"21,284"
ICICI Prudential Ultra Short Term Fund,5,7.64,Apr-24,Moderate,Debt,0.8,03-05-2011,"16,269"
Invesco India Banking and PSU Fund,1,9.21,Aug-22,Moderate,Debt - Banking,0.63,29-12-2012,105
Invesco India Corporate Bond Fund,3,9.44,Sep-21,Moderate,Debt - Bond,0.68,02-08-2007,"7,031"
Invesco India Credit Risk Fund - Regular Plan,1,10.37,Apr-14,Moderately High,Debt,1.45,04-09-2014,150
Invesco India Gilt Fund,3,7.11,24/32,Moderate,Debt - Govt Instruments,1.25,09-02-2008,636
Invesco India Liquid Fund,4,7.22,Jul-45,Low to Moderate,Debt,0.22,17-11-2006,"14,737"
Invesco India Low Duration Fund,4,8,Jun-20,Low to Moderate,Debt,0.6,18-01-2007,"1,673"
Invesco India Medium Duration Fund - Regular Plan,2,8.79,Nov-13,Moderate,Debt,1.15,16-07-2021,169
Invesco India Money Market Fund,3,7.84,15/23,Low to Moderate,Debt,0.48,28-08-2009,"5,899"
Invesco India Nifty G-sec Jul 2027 Index Fund - Regular Plan,--,9.03,61/95,Low to Moderate,Debt,0.29,20-03-2023,72
Invesco India Nifty G-sec Sep 2032 Index Fund - Regular Plan,--,10.88,Apr-95,Moderate,Debt,0.29,29-03-2023,53
Invesco India Overnight Fund - Regular Plan,4,6.38,Jul-35,Low,Debt,0.12,08-01-2020,323
Invesco India Short Duration Fund,2,8.89,16/25,Moderate,Debt,1.05,24-03-2007,"1,051"
Invesco India Ultra Short Duration Fund,3,7.5,Sep-24,Low to Moderate,Debt,0.74,30-12-2010,"1,227"
ITI Banking and PSU Debt Fund - Regular Plan,5,8.2,21/22,Low to Moderate,Debt - Banking,0.7,22-10-2020,36
ITI Dynamic Bond Fund - Regular Plan,4,8.13,Nov-23,Moderate,Debt - Bond,1.19,14-07-2021,40
ITI Liquid Fund - Regular Plan,1,6.92,32/45,Low to Moderate,Debt,0.25,24-04-2019,70
ITI Overnight Fund - Regular Plan,1,6.11,33/35,Low,Debt,0.18,25-10-2019,44
ITI Ultra Short Duration Fund - Regular Plan,2,6.8,22/24,Low to Moderate,Debt,0.95,05-05-2021,163
JM Dynamic Bond Fund,4,9.52,Mar-23,Moderate,Debt - Bond,0.97,25-06-2003,57
JM Liquid Fund,2,7.1,27/45,Low to Moderate,Debt,0.26,31-12-1997,"2,196"
JM Low Duration Fund,4,7.94,Dec-20,Low to Moderate,Debt,0.72,27-09-2006,232
JM Medium to Long Duration Fund,2,9.41,Mar-13,Moderate,Debt,1.1,01-04-1995,35
JM Overnight Fund - Regular Plan,2,6.27,28/35,Low,Debt,0.15,03-12-2019,97
JM Short Duration Fund - Regular Plan,2,8.57,22/25,Moderate,Debt,1.09,29-08-2022,121
Kotak Banking and PSU Debt Fund - Regular Plan,3,9.24,Jul-22,Moderate,Debt - Banking,0.75,29-12-1998,"6,213"
Kotak Bond Fund - Regular Plan,3,8.19,Sep-13,Moderate,Debt,1.66,25-11-1999,"2,131"
Kotak Bond - Short Term Regular Fund,3,8.99,13/25,Moderate,Debt,1.12,02-05-2002,"17,541"
Kotak Corporate Bond Fund - Standard Plan,4,9.54,Jul-21,Moderate,Debt - Bond,0.68,21-09-2007,"16,661"
Kotak Credit Risk Fund - Regular Plan,1,7.78,13/14,High,Debt,1.71,11-05-2010,704
Kotak CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund - Regular Plan,--,--,--,Moderate,Debt,0.29,17-02-2025,52
Kotak CRISIL IBX AAA Financial Services Index - Sep 2027 Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.4,13-09-2024,406
Kotak CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.35,07-03-2025,584
Kotak Dynamic Bond Fund - Regular Plan,2,8.08,13/23,Moderately High,Debt - Bond,1.33,26-05-2008,"2,883"
Kotak Floating Rate Fund - Regular Plan,2,9.37,05-Dec,Low to Moderate,Debt,0.63,14-05-2019,"3,312"
Kotak Gilt Investment Provident Fund and Trust Plan,2,6.37,30/32,Moderate,Debt - Govt Instruments,1.4,11-11-2003,"3,868"
Kotak Gilt Investment - Regular Plan,2,6.37,31/32,Moderate,Debt - Govt Instruments,1.48,29-12-1998,"3,868"
Kotak Income Plus Arbitrage FOF - Regular Plan,--,8.76,--,Moderate,Debt,0.32,17-11-2022,"2,260"
Kotak Liquid - Regular Plan,3,7.17,20/45,Moderate,Debt,0.31,04-11-2003,"36,088"
Kotak Long Duration Fund - Regular Plan,--,7.11,04-Sep,Moderate,Debt,0.62,11-03-2024,208
Kotak Low Duration Fund - Standard Plan,1,7.88,14/20,Low to Moderate,Debt,1.17,06-03-2008,"12,913"
Kotak Medium Term Fund - Regular Plan,3,9.48,Apr-13,Moderately High,Debt,1.63,21-03-2014,"1,912"
Kotak Money Market Fund - Regular Plan,4,8.12,Aug-23,Low to Moderate,Debt,0.36,14-07-2003,"31,657"
Kotak Nifty 1D Rate Liquid ETF,--,6.25,37/45,Low,Debt,0.19,24-01-2023,"1,326"
Kotak Nifty AAA Bond Jun 2025 HTM Index Fund - Regular Plan,--,7.37,93/95,Low to Moderate,Debt,0.23,28-03-2024,102
Kotak Nifty G-Sec July 2033 Index Fund - Regular Plan,--,10.53,22/95,Moderate,Debt,0.39,11-10-2023,21
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund - Regular Plan,--,9.09,57/95,Low to Moderate,Debt,0.35,11-02-2022,"7,693"
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund - Regular Plan,--,10.56,17/95,Moderate,Debt,0.36,11-02-2022,"3,072"
Kotak Nifty SDL Jul 2026 Index Fund - Regular Plan,--,8.22,82/95,Low to Moderate,Debt,0.41,22-12-2022,103
Kotak Nifty SDL Jul 2033 Index Fund - Regular Plan,--,10.47,25/95,Moderate,Debt,0.43,15-02-2023,213
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund - Regular Plan,--,9.86,37/95,Low to Moderate,Debt,0.4,13-10-2022,577
Kotak Overnight Fund - Regular Plan,3,6.37,Sep-35,Low,Debt,0.16,15-01-2019,"6,261"
Kotak Savings Fund - Regular Plan,2,7.43,Nov-24,Low to Moderate,Debt,0.81,13-08-2004,"15,401"
LIC MF Banking & PSU Fund,3,9.32,Apr-22,Moderate,Debt - Banking,0.78,31-05-2007,"1,932"
LIC MF Gilt Fund,2,6.79,28/32,Moderate,Debt - Govt Instruments,1.48,10-12-1999,92
LIC MF Gilt Fund - Provident Fund,2,6.79,27/32,Moderate,Debt - Govt Instruments,--,29-12-2003,92
LIC MF Liquid Fund - Regular Plan,4,7.15,21/45,Low to Moderate,Debt,0.3,18-03-2002,"11,165"
LIC MF Low Duration Fund,2,7.63,19/20,Low to Moderate,Debt,0.96,09-06-2003,"2,100"
LIC MF Medium to Long Duration Fund,3,9.75,Jan-13,Moderate,Debt,1.22,23-06-1999,202
LIC MF Money Market Fund - Regular Plan,1,6.56,23/23,Moderate,Debt,0.49,01-08-2022,463
LIC MF Nifty 8-13 yr G-Sec Exchange Traded Fund,--,10.95,Mar-32,Moderate,Debt - Govt Instruments,0.16,24-12-2014,"2,553"
LIC MF Overnight Fund - Regular Plan,2,6.32,26/35,Low to Moderate,Debt,0.15,18-07-2019,834
LIC MF Short Duration Fund - Regular Plan,2,8.72,19/25,Moderate,Debt,1.32,01-02-2019,262
LIC MF Ultra Short Duration Fund - Regular Plan,2,7.09,18/24,Moderate,Debt,0.95,27-11-2019,267
Mahindra Manulife Dynamic Bond Fund - Regular Plan,2,7.98,15/23,Moderate,Debt - Bond,1.57,20-08-2018,98
Mahindra Manulife Liquid Fund - Regular Plan,4,7.19,16/45,Moderate,Debt,0.25,04-07-2016,"1,198"
Mahindra Manulife Low Duration Fund - Regular Plan,2,7.66,17/20,Moderate,Debt,1.09,15-02-2017,624
Mahindra Manulife Overnight Fund - Regular Plan,3,6.34,19/35,Low,Debt,0.2,23-07-2019,247
Mahindra Manulife Short Duration Fund - Regular Plan,2,8.63,20/25,Moderate,Debt,1.25,23-02-2021,77
Mahindra Manulife Ultra Short Duration Fund - Regular Plan,4,7.5,Oct-24,Moderate,Debt,0.7,17-10-2019,205
Mirae Asset Banking and PSU Fund - Regular Plan,2,8.87,15/22,Moderate,Debt - Banking,0.81,24-07-2020,48
Mirae Asset Corporate Bond Fund - Regular Plan,2,9.09,16/21,Moderate,Debt - Bond,0.65,17-03-2021,44
Mirae Asset CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,--,--
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund - Regular Plan,--,10.63,15/95,Moderate,Debt,0.4,20-10-2022,244
Mirae Asset Dynamic Bond Fund - Regular Plan,3,8.19,Oct-23,Low to Moderate,Debt - Bond,1.02,24-03-2017,120
Mirae Asset Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,--,--,--
Mirae Asset Liquid Fund,4,7.19,15/45,Low to Moderate,Debt,0.2,12-01-2009,"14,285"
Mirae Asset Long Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.7,06-12-2024,43
Mirae Asset Low Duration Fund - Regular Plan,3,7.91,13/20,Low to Moderate,Debt,0.85,05-03-2008,"1,838"
Mirae Asset Money Market Fund - Regular Plan,3,8.04,Oct-23,Low to Moderate,Debt,0.41,11-08-2021,"2,659"
Mirae Asset Nifty 1D Rate Liquid ETF - Growth,--,--,--,Low,Debt,0.16,07-11-2024,277
Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,--,6.04,41/45,Low,Debt,0.28,27-07-2023,546
Mirae Asset Nifty 8-13 yr G-Sec ETF,--,10.93,Apr-32,Moderate,Debt - Govt Instruments,0.1,31-03-2023,93
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Regular Plan,--,8.03,85/95,Low to Moderate,Debt,0.36,20-10-2022,87
Mirae Asset Nifty SDL Jun 2027 Index Fund - Regular Plan,--,9.25,52/95,Low to Moderate,Debt,0.35,30-03-2022,648
Mirae Asset Nifty SDL June 2028 Index Fund - Regular Plan,--,9.98,35/95,Low to Moderate,Debt,0.49,31-03-2023,74
Mirae Asset Overnight Fund - Regular Plan,4,6.36,13/35,Low,Debt,0.16,15-10-2019,"1,010"
Mirae Asset Short Duration Fund - Regular Plan,3,8.89,17/25,Moderate,Debt,1.12,16-03-2018,"1,056"
Mirae Asset Ultra Short Duration Fund - Regular Plan,5,7.84,Feb-24,Low to Moderate,Debt,0.42,07-10-2020,"1,780"
Motilal Oswal 5 Year G-Sec FoF - Regular Plan,1,10.29,Aug-32,Moderate,Debt - Govt Instruments,0.21,06-10-2021,38
Motilal Oswal Liquid Fund - Regular Plan,1,6.67,36/45,Low to Moderate,Debt,0.37,20-12-2018,"1,117"
Motilal Oswal Liquid Fund - Unclaimed,--,--,--,Low to Moderate,Debt,--,--,"1,117"
Motilal Oswal Nifty 5 year Benchmark G-Sec ETF,--,10.46,Jul-32,Moderate,Debt - Govt Instruments,0.24,10-12-2020,109
Motilal Oswal Ultra Short Term Fund - Regular Plan,1,5.99,24/24,Low to Moderate,Debt,1.03,06-09-2013,572
Navi Liquid Fund,1,6.77,35/45,Low to Moderate,Debt,0.2,19-02-2010,121
Nippon India Banking & PSU Debt Fund,3,9.24,Jun-22,Moderate,Debt - Banking,0.77,15-05-2015,"5,946"
Nippon India Corporate Bond Fund,5,9.83,Mar-21,Moderate,Debt - Bond,0.74,14-09-2000,"8,771"
Nippon India Credit Risk Fund,5,9.49,May-14,High,Debt,1.46,08-06-2005,"1,017"
Nippon India CRISIL IBX AAA Financial Services - Dec 2026 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.37,25-10-2024,103
Nippon India CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Regular Plan,--,--,--,Moderate,Debt,0.37,25-10-2024,107
Nippon India Dynamic Bond Fund,4,10.2,Feb-23,Moderate,Debt - Bond,0.74,15-11-2004,"4,613"
Nippon India ETF Nifty 1D Rate Liquid BeES,--,5.66,45/45,Low,Debt,0.69,08-07-2003,"12,214"
Nippon India ETF Nifty 5 yr Benchmark G-Sec,--,10.78,May-32,Moderate,Debt - Govt Instruments,0.09,05-04-2021,227
Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,--,11.01,Feb-32,Moderate,Debt - Govt Instruments,0.1,05-07-2016,"2,773"
Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,--,8.05,83/95,Low to Moderate,Debt,0.2,25-03-2021,"5,231"
Nippon India Floating Rate Fund,3,9.4,03-Dec,Moderate,Debt,0.65,27-08-2004,"7,811"
Nippon India Gilt Securities Fund,3,7.52,20/32,Moderate,Debt - Govt Instruments,1.28,04-07-2003,"2,068"
Nippon India Gilt Securities PF,3,7.52,19/32,Moderate,Debt - Govt Instruments,1.71,22-08-2008,"2,068"
Nippon India Income Fund,3,7.87,Nov-13,Moderate,Debt,1.52,01-01-1998,426
Nippon India Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,--,17-06-2025,--
Nippon India Liquid Fund,3,7.18,18/45,Moderate,Debt,0.33,09-12-2003,"36,125"
Nippon India Low Duration Fund,3,7.99,Jul-20,Moderate,Debt,0.96,20-03-2007,"7,663"
Nippon India Money Market Fund,4,8.16,May-23,Moderate,Debt,0.37,16-06-2005,"19,655"
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund - Regular Plan,--,8.8,70/95,Low to Moderate,Debt,0.32,29-03-2022,"3,330"
Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund - Regular Plan,--,8.32,81/95,Low to Moderate,Debt,0.38,27-10-2022,413
Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund - Regular Plan,--,10.71,Dec-95,Moderate,Debt,0.42,19-12-2022,833
Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund - Regular Plan,--,9.79,40/95,Low to Moderate,Debt,0.37,06-03-2023,143
Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund - Regular Plan,--,9,62/95,Low to Moderate,Debt,0.4,06-12-2022,400
Nippon India Nifty SDL Plus G-Sec - Jun 2028 Maturity 70:30 Index Fund - Regular Plan,--,9.78,42/95,Low to Moderate,Debt,0.4,24-11-2022,416
Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund - Regular Plan,--,10.23,30/95,Moderate,Debt,0.39,20-02-2023,340
Nippon India Nivesh Lakshya Fund - Regular Plan,--,8.29,03-Sep,Moderate,Debt,0.64,06-07-2018,"10,269"
Nippon India Overnight Fund - Regular Plan,4,6.39,May-35,Low,Debt,0.16,18-12-2018,"5,781"
Nippon India Short Term Fund,3,9.48,Feb-25,Moderate,Debt,0.95,18-12-2002,"7,058"
Nippon India Strategic Debt Fund,4,9.01,Jul-13,Moderately High,Debt,1.11,26-06-2014,103
Nippon India Ultra Short Duration Fund,4,7.39,Dec-24,Moderate,Debt,1.11,07-12-2001,"8,772"
NJ Overnight Fund - Regular Plan,1,6.25,31/35,Low,Debt,0.15,01-08-2022,223
Parag Parikh Liquid Fund - Regular Plan,1,6.83,33/45,Low to Moderate,Debt,0.21,11-05-2018,"3,426"
PGIM India Corporate Bond Fund,3,9.08,17/21,Moderate,Debt - Bond,1,30-01-2003,91
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund - Regular Plan,--,9.26,51/95,Low to Moderate,Debt,0.47,22-02-2023,27
PGIM India Dynamic Bond Fund,3,8.06,14/23,Moderate,Debt - Bond,1.64,12-01-2012,120
PGIM India Gilt Fund,3,7.72,17/32,Moderate,Debt - Govt Instruments,1.38,27-10-2008,117
PGIM India Liquid Fund,3,7.21,Aug-45,Low to Moderate,Debt,0.22,05-09-2007,472
PGIM India Money Market Fund - Regular Plan,2,7.78,16/23,Low to Moderate,Debt,0.46,06-03-2020,183
PGIM India Overnight Fund - Regular Plan,4,6.38,Jun-35,Low,Debt,0.17,27-08-2019,40
PGIM India Ultra Short Duration Fund,3,7.06,20/24,Low to Moderate,Debt,0.92,03-07-2008,198
Quant Gilt Fund - Regular Plan,4,7.47,21/32,Moderate,Debt - Govt Instruments,1.41,21-12-2022,142
Quant Liquid Fund,2,6.98,31/45,Moderate,Debt,0.52,03-10-2005,"1,679"
Quant Overnight Fund - Regular Plan,5,6.37,Aug-35,Low,Debt,0.22,05-12-2022,214
Quantum Dynamic Bond Fund - Regular Plan,4,8.86,Jul-23,Moderate,Debt - Bond,0.96,19-05-2015,116
Quantum Liquid Fund - Unclaimed,--,--,--,Low,Debt,--,--,558
Quantum Liquid - Regular Plan,2,6.79,34/45,Low,Debt,0.25,07-04-2006,558
Samco Overnight Fund - Regular Plan,1,5.98,35/35,Low,Debt,0.33,12-10-2022,51
SBI Banking and PSU Fund,3,9.08,Oct-22,Moderate,Debt - Banking,0.79,09-10-2009,"4,074"
SBI Corporate Bond Fund - Regular Plan,3,9.48,Aug-21,Moderate,Debt - Bond,0.77,01-02-2019,"25,098"
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund - Regular Plan,--,8.4,79/95,Low to Moderate,Debt,0.34,24-01-2022,"8,919"
SBI Credit Risk Fund,3,8.71,Oct-14,High,Debt,1.55,14-07-2004,"2,245"
SBI CRISIL IBX Gilt Index - April 2029 Fund - Regular Plan,--,10.04,34/95,Moderate,Debt,0.43,04-10-2022,"2,211"
SBI CRISIL IBX Gilt Index - June 2036 Fund - Regular Plan,--,10.53,19/95,Moderate,Debt,0.5,04-10-2022,"2,591"
SBI CRISIL IBX SDL Index - September 2027 Fund - Regular Plan,--,9.36,47/95,Low to Moderate,Debt,0.38,04-10-2022,"1,124"
SBI Dynamic Bond Fund,3,8.11,Dec-23,Moderate,Debt - Bond,1.41,09-02-2004,"3,560"
SBI Floating Rate Debt Fund - Regular Plan,3,8.61,09-Dec,Low to Moderate,Debt,0.41,27-10-2020,"1,229"
SBI Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Low to Moderate,Debt,0.3,02-05-2025,"1,171"
SBI Liquid Fund,2,7.11,26/45,Low to Moderate,Debt,0.31,22-03-2007,"65,172"
SBI Long Duration Fund - Regular Plan,--,6.56,06-Sep,Moderate,Debt,0.67,21-12-2022,"2,976"
SBI Magnum Constant Maturity Fund,--,10.2,06-Aug,Moderate,Debt,0.63,30-12-2000,"1,944"
SBI Magnum Gilt Fund,4,7.88,16/32,Moderate,Debt - Govt Instruments,0.94,30-12-2000,"12,573"
SBI Magnum Income Fund,4,8.36,Jul-13,Moderately High,Debt,1.47,25-11-1998,"1,983"
SBI Magnum Low Duration Fund,4,7.87,15/20,Moderate,Debt,0.93,27-07-2007,"14,729"
SBI Magnum Medium Duration Fund,4,8.94,Aug-13,Moderately High,Debt,1.22,12-11-2003,"6,580"
SBI Magnum Ultra Short Duration Fund,3,7.62,Jun-24,Low to Moderate,Debt,0.55,21-05-1999,"16,434"
SBI Nifty 10 yr Benchmark G-Sec ETF,--,10.91,02-Aug,Moderate,Debt,0.14,10-06-2016,"3,259"
SBI NIFTY 1D Rate ETF,--,5.9,43/45,Low,Debt,0.35,27-10-2023,36
SBI Overnight Fund,2,6.33,21/35,Low to Moderate,Debt,0.14,01-10-2002,"15,182"
SBI Savings Fund,2,7.74,18/23,Moderate,Debt,0.67,14-07-2004,"30,118"
SBI Short Term Debt Fund,4,9.15,Jul-25,Moderate,Debt,0.85,27-07-2007,"14,733"
Shriram Liquid Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.26,14-11-2024,177
Shriram Nifty 1D Rate Liquid ETF,--,--,--,Low,Debt,0.41,05-07-2024,20
Shriram Overnight Fund - Regular Plan,2,6.23,32/35,Low,Debt,0.16,26-08-2022,200
Sundaram Banking & PSU Fund - Regular Plan,3,9.25,May-22,Moderate,Debt - Banking,0.41,29-12-2004,471
Sundaram Corporate Bond Fund - Regular Plan,3,9.37,Dec-21,Moderate,Debt - Bond,0.55,29-12-2004,719
Sundaram Liquid Fund,3,7.13,22/45,Low to Moderate,Debt,0.32,30-08-2004,"6,288"
Sundaram Low Duration Fund,4,7.83,16/20,Low to Moderate,Debt,1.15,14-09-2004,398
Sundaram Medium Duration Fund - Regular Plan,1,7.51,13/13,Moderate,Debt,2.13,18-12-1997,43
Sundaram Money Market Fund - Regular Plan,3,8.02,Nov-23,Low to Moderate,Debt,0.29,26-09-2018,"1,356"
Sundaram Overnight Fund - Regular Plan,2,6.34,17/35,Low,Debt,0.16,20-03-2019,801
Sundaram Short Duration Fund,4,9.05,Nov-25,Moderate,Debt,0.89,04-09-2002,214
Sundaram Ultra Short Duration Fund - Regular Plan,1,6.64,23/24,Low to Moderate,Debt,1.48,28-12-2007,"2,551"
Tata Corporate Bond Fund - Regular Plan,3,9,18/21,Moderate,Debt - Bond,0.86,01-12-2021,"4,024"
Tata CRISIL-IBX Gilt Index - April 2026 Index Fund - Regular Plan,--,7.75,89/95,Low to Moderate,Debt,0.35,30-09-2022,950
Tata Floating Rate Fund - Regular Plan,3,8.82,08-Dec,Moderate,Debt,0.72,07-07-2021,114
Tata Gilt Securities Fund - Regular Plan,3,8.68,Dec-32,Moderate,Debt - Govt Instruments,1.37,06-09-1999,"1,159"
Tata Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Low to Moderate,Debt,0.61,22-05-2025,195
Tata Liquid Fund - Regular Plan,3,7.2,14/45,Low to Moderate,Debt,0.31,01-09-2004,"18,156"
